Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Acropora,Acropora,sp.,,M,Unhealthy,Disease,Disease,Discoloration,5,Y,S02T0120190313DM_DH002,Bleached or disease or both,,,,,
14/3/19,14,2019 March,2019,Tess,North Bay,0:24,1:00,8,23,Submassive,,,,Isopora,Isopora,cuneata,,S,Unhealthy,Disease,Disease,Discoloration,5,Y,S02T0120190314DM_DH003,DF003,,,,,Panasonic
14/3/19,14,2019 March,2019,Tess,North Bay,0:24,1:00,8,23,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Discoloration,10,Y,S02T0120190314DM_DH004,HC0021-22,Bleached or disease or both,,,,Panasonic
14/3/19,14,2019 March,2019,Tess,North Bay,0:24,1:00,8,23,Submassive,,,,Isopora,Isopora,cuneata,,S,Unhealthy,Disease,Disease,Discoloration,20,Y,,Bleached or disease or both,,,,,Panasonic
14/3/19,14,2019 March,2019,Tess,North Bay,0:24,1:00,8,23,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Predation,,Y,,Multifocal - bites,,,,,Panasonic
14/3/19,14,2019 March,2019,Tess,North Bay,0:24,1:00,8,23,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Discoloration,20,Y,Bleached or disease or both,,,,,,Panasonic
18/3/19,18,2019 March,2019,Tess,Coral Garden,14:15,14:31,2,5,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,Polyp,DOTS,Y,RETURNING TO GET ID,DOTS - MAYBE PREDATION
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,5,Medial ,,,,,,,1
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,2
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,S,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,2,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,20,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,5,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,S,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,S,Unhealthy,Disease,Disease,Tissue loss,5,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,M,Unhealthy,Disease,Disease,Tissue loss,1,Medial ,,,,,,,
19/3/19,19,2019 March,2019,Tess,Erscotts Reef,9:20,,4,13,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,5,Medial ,,,,,,,
