Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,10,Apical,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,D008
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Table,,,,Acropora,Acropora,,Brown/red,L,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,D009
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Stylophora,Stylophora,pistillata,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Stylophora,Stylophora,pistillata,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Stylophora,Stylophora,pistillata,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Stylophora,Stylophora,pistillata,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Stylophora,Stylophora,pistillata,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Stylophora,Stylophora,pistillata,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
